epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.656,0.90287,1.28156,1.47983,0.85332,0.81818,0.84849,0.45336,1.63494,1.36671,2.27878,0.000544553,0.000544553,0.000544553
2,949.911,0.94799,0.83977,1.48927,0.54528,0.64646,0.62096,0.21651,2.25427,1.64356,3.25385,0.00107844,0.00107844,0.00107844
3,1419.06,1.03046,0.8757,1.55829,0.06624,0.67677,0.0555,0.02382,1.91412,18.3346,2.53291,0.00159031,0.00159031,0.00159031
4,1886.03,1.00931,0.80589,1.52454,0.29223,0.42929,0.1984,0.07091,2.66049,2.09268,3.74826,0.00156798,0.00156798,0.00156798
5,2355.61,0.97422,0.76548,1.51572,0.8144,0.82,0.8176,0.39006,1.7138,1.066,2.4339,0.00153497,0.00153497,0.00153497
6,2808.09,0.98135,0.77254,1.50834,0.70957,0.75269,0.73746,0.38023,1.89292,1.09511,2.86102,0.00150197,0.00150197,0.00150197
7,3259.39,0.91158,0.71761,1.46359,0.65538,0.66667,0.49176,0.22125,2.15946,1.20057,3.29856,0.00146896,0.00146896,0.00146896
8,3711.86,0.8704,0.65519,1.44554,0.93271,0.91919,0.95185,0.63555,1.13455,0.68538,1.60248,0.00143595,0.00143595,0.00143595
9,4183.25,0.90016,0.63789,1.45909,0.92795,0.93434,0.97942,0.70356,1.02223,0.6134,1.49831,0.00140295,0.00140295,0.00140295
10,4638.64,0.9001,0.64236,1.43658,0.6466,0.60101,0.53159,0.25406,2.30172,1.35217,3.42074,0.00136994,0.00136994,0.00136994
11,5237.13,0.86575,0.63221,1.43544,0.76106,0.72391,0.65774,0.32008,1.69811,1.12633,2.57009,0.00133693,0.00133693,0.00133693
12,5701.21,0.82848,0.5961,1.4031,0.9015,0.97066,0.95733,0.65342,1.11819,0.58482,1.59377,0.00130393,0.00130393,0.00130393
13,6160.73,0.86629,0.6214,1.4262,0.77297,0.83333,0.82896,0.41682,1.84195,1.15966,2.53021,0.00127092,0.00127092,0.00127092
14,6624.66,0.84714,0.61131,1.4004,0.76604,0.77273,0.70906,0.40941,1.52737,0.80173,2.12248,0.00123791,0.00123791,0.00123791
15,7084.08,0.79567,0.56838,1.37854,0.9693,0.95673,0.97609,0.7191,0.99477,0.54495,1.43149,0.00120491,0.00120491,0.00120491
16,7538.22,0.80408,0.5475,1.37251,0.95499,0.96447,0.97996,0.72811,0.96238,0.52076,1.43122,0.0011719,0.0011719,0.0011719
17,7999.23,0.78116,0.54611,1.35299,0.64489,0.61616,0.59694,0.27055,2.23641,1.35131,3.18606,0.00113889,0.00113889,0.00113889
18,8459.76,0.7857,0.5484,1.36588,0.8852,0.93466,0.92638,0.62043,1.22444,0.67324,1.75131,0.00110589,0.00110589,0.00110589
19,8952.84,0.75664,0.52483,1.34317,0.98432,0.95132,0.9883,0.72748,1.02214,0.51828,1.48917,0.00107288,0.00107288,0.00107288
20,9411.35,0.78748,0.53849,1.3624,0.88471,0.89394,0.87493,0.53966,1.47143,0.82162,1.99876,0.00103987,0.00103987,0.00103987
